"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.412095834E-2,-4.214616032E-1,1.400776523E-1,6.743009090E-3
9.412395835E-2,-3.951831928E-1,2.976191837E-1,-1.791534251E-1
1.141269583E-1,-3.149092542E-1,2.332337379E-1,-2.082602799E-1
1.341299583E-1,-3.630254070E-1,5.734919876E-2,2.415695286E-1
1.541329583E-1,-5.259099779E-1,5.680336118E-2,6.416705221E-1
1.741359583E-1,-6.290482108E-1,1.098034009E-1,7.332583845E-1
1.941389584E-1,-5.472591855E-1,2.318032166E-1,2.921561301E-1
2.141419583E-1,-2.229541866E-1,3.953232336E-1,-2.226567096E-1
2.341449583E-1,-1.194960380E-1,3.119638655E-1,-3.965371156E-1
2.541469583E-1,-1.311219838E-1,8.655721039E-2,-4.181267899E-1
2.741499583E-1,-6.077756748E-2,-7.960077792E-2,-2.926262462E-1
2.941529583E-1,-5.799118649E-2,-2.277452490E-1,-3.032307565E-1
3.141559583E-1,1.998801235E-2,-1.676206693E-1,-2.374115735E-1
3.341589583E-1,1.087336894E-1,-1.027621838E-1,-3.479683882E-1
3.541619583E-1,2.079973745E-1,-6.529556483E-2,-4.699763900E-1
3.741649583E-1,2.245605264E-1,6.024093926E-2,-4.031128943E-1
3.941679584E-1,5.093977332E-2,1.986202678E-1,-1.130734563E-1
4.141709583E-1,-5.263776820E-2,1.071022797E-1,-2.258095282E-1
4.341739583E-1,2.488034114E-2,6.098470509E-2,-5.099473715E-1
4.541769583E-1,-8.995305397E-2,1.469431606E-1,-3.977720475E-1
4.741799583E-1,-3.666906245E-1,3.559396049E-1,-9.379109323E-2
4.941829583E-1,-6.901811428E-1,3.038584551E-1,-2.955884457E-2
5.141859583E-1,-6.716190836E-1,1.798182535E-1,-1.194358116E-1
5.341879583E-1,-5.655461697E-1,1.757506379E-1,-3.388239276E-1
5.541909583E-1,-1.990743406E-1,4.876969618E-1,-3.400658762E-1
5.741939583E-1,-2.708089690E-1,7.012165198E-1,-5.024027091E-1
5.941969584E-1,-9.208519730E-1,2.586229330E-1,-1.359524417E0
6.141999583E-1,2.244687251E-1,5.094105971E-1,-1.362367333E0
6.342029583E-1,2.088559650E-1,6.448704109E-1,-1.363849602E0
6.542059583E-1,-2.493228634E-1,2.636778510E-1,-1.279773658E0
6.742089583E-1,-5.495357989E-1,3.306299320E-1,-9.433886039E-1
6.942119583E-1,-3.786854931E-1,-9.077773064E-2,3.010614395E-2
7.142149583E-1,-5.660504555E-1,4.296420041E-1,5.320200258E-1
7.342179584E-1,-3.624498218E-1,1.695335859E-1,3.718466628E-1
7.542209583E-1,-2.232794380E-1,-1.865375814E-1,7.105121309E-1
7.742229583E-1,-7.105989620E-2,-4.733905792E-1,8.369634318E-1
7.942259584E-1,-3.675998300E-3,-2.963117462E-1,7.176609367E-1
8.142289583E-1,3.547860955E-1,2.537399232E-2,6.553851664E-2
8.342319583E-1,5.832408310E-1,1.808181274E-1,-4.631117588E-1
8.542349583E-1,3.328985055E-1,6.866005272E-2,-3.752631909E-1
8.742379583E-1,-7.731020428E-1,-7.255538008E-1,-1.660948384E-1
8.942409583E-1,-1.375189985E0,-2.137725963E0,-4.407794881E-1
9.142439583E-1,-7.130330117E-1,-8.774735266E-1,-1.929592860E-1
9.342469583E-1,1.009523244E0,1.080668071E0,-1.085423319E0
9.542499583E-1,-8.674664555E-1,1.064510460E0,-7.611718225E-1
9.742529583E-1,-2.585246998E0,3.875923374E-1,-2.908726662E-1
9.942559583E-1,-2.303191348E0,1.076615366E0,-2.593309139E0
1.014257583E0,-1.195844479E0,2.662654193E0,-3.358214993E0
1.034259583E0,6.599995551E0,7.284895123E0,-2.659632937E0
1.054262583E0,-1.111025353E0,1.907548272E0,-4.663191320E0
1.074265583E0,-4.674539012E-1,2.190324299E0,-3.780456469E0
1.094268583E0,-1.323491535E0,2.232907231E0,-2.994427548E0
1.114271583E0,-2.915184327E0,1.355167072E0,-1.305447612E0
1.134274583E0,-3.367607376E0,1.165150105E0,1.571740923E0
1.154277583E0,-2.906597106E0,1.133417265E0,4.273877855E0
1.174280583E0,-2.048415883E0,4.434972739E-1,5.790794699E0
1.194283583E0,-2.857740111E0,-2.396101266E-1,5.468698486E0
1.214286583E0,-2.884038841E0,5.996980387E-1,4.722248198E0
1.234289583E0,-2.498955836E0,8.268085724E-1,4.790164778E0
1.254292583E0,-2.507300397E0,1.674534389E0,3.905257686E0
1.274295583E0,-3.577940494E0,2.322207078E0,1.977088038E0
1.294298583E0,-3.560585958E0,2.530756795E0,1.261216350E0
1.314300583E0,-3.050647942E0,2.592081808E0,2.397075997E0
1.334303583E0,-2.243606467E0,2.328486988E0,2.458619696E0
1.354306583E0,-2.035348233E0,1.852915690E0,5.777125078E-1
1.374309583E0,-1.246916838E0,1.905176057E0,-4.658581960E-1
1.394312583E0,-6.174077931E-1,1.999493984E0,-2.000133669E-1
1.414315583E0,-5.725498550E-2,1.619482562E0,5.064752948E-1
1.434318583E0,2.657810213E-1,1.115198511E0,6.751920247E-1
1.454321583E0,1.591513429E-1,1.021236387E0,-1.015028222E1
1.474324583E0,-5.442475040E-1,1.412712445E0,1.444938789E0
1.494327583E0,-4.000492164E0,-8.515925807E-1,-1.356211385E0
1.514330583E0,-2.793208778E0,1.936235297E-1,-6.790500176E-1
1.534333583E0,-2.259978378E0,1.930926025E-2,-2.198354280E0
1.554335583E0,-2.848329018E0,-9.711748651E-1,-1.554361829E0
1.574338583E0,-2.477592741E0,-2.151064923E-1,-2.227521361E0
1.594341583E0,-3.293215882E0,-6.790848085E-1,-1.043905165E0
1.614344583E0,-5.014729434E0,6.305140346E-1,-1.117639139E0
1.634347583E0,-6.059751416E0,6.942039540E-1,-8.673058033E-2
1.654350583E0,-5.762504700E0,9.213416773E-1,2.612599688E0
1.674353583E0,-4.064133552E0,3.466033557E0,-9.040118750E0
1.694356583E0,-3.361364889E0,-5.409919351E0,1.292926268E1
1.714359583E0,-2.653400974E0,1.293171968E0,4.352287263E0
1.734362583E0,-1.311533979E0,-1.314919517E0,2.072392391E0
1.754365583E0,-2.172376270E0,5.842134422E-1,-2.968938366E0
1.774368583E0,-2.921132115E0,1.350007489E0,-6.606381295E0
1.794371583E0,-2.947283202E0,2.271414070E0,-7.300601329E0
1.814373583E0,-1.783746637E0,1.900076407E0,-6.240774781E0
1.834376583E0,-6.554006615E-1,1.845316941E0,-6.420386043E0
1.854379583E0,-3.701018536E-1,1.662873287E0,-7.353568917E0
1.874382583E0,2.091870636E-2,1.923704129E0,-6.007317095E0
1.894385583E0,-1.557380746E0,2.081937386E0,-7.700362015E-1
1.914388583E0,-1.857058734E0,1.812388346E0,1.367432191E0
1.934391583E0,-1.334893606E0,1.985916603E0,9.879519886E-1
1.954394583E0,-1.596500665E0,1.620042433E0,-1.647663510E-1
1.974397583E0,-1.835046599E0,7.971706443E-1,-1.219149141E0
1.994400583E0,-7.541686124E-1,8.006634785E-1,1.671309650E-2
2.014404333E0,-9.875251418E-1,-5.139948872E-1,-6.585297990E-1
2.034407333E0,-2.391871829E0,-2.436010559E0,3.067168665E-1
2.054410333E0,-3.959390916E0,-1.390817838E0,3.300922805E-1
2.074412333E0,-3.958225858E0,7.690845671E-1,1.946206554E0
2.094415333E0,-1.354005084E0,1.863577649E0,1.649309501E0
2.114418333E0,-9.908835632E-1,1.658652182E0,-1.130631067E0
2.134421333E0,-6.256930053E-1,2.175409513E0,-7.868159562E-1
2.154424333E0,-1.517684584E0,7.547012937E-1,4.746290195E-1
2.174427333E0,-2.348637663E0,6.307555246E-1,-9.536224008E-3
2.194430333E0,1.920273312E-1,1.574804425E0,-2.379115689E0
2.214433333E0,-1.039979271E0,7.527619185E-1,-1.581033318E0
2.234436333E0,-7.760190725E-1,4.142192419E-1,-3.630553740E-1
2.259102250E0,-2.708254874E-2,5.702789426E-3,6.430007637E-1
2.279105250E0,-3.523459062E-2,1.275511622E-2,5.654789633E-1
2.299108250E0,4.337113738E-2,2.123106462E-1,-2.069271147E-2
2.319111250E0,7.913373157E-2,2.054775900E-1,-3.386911958E-1
2.339114250E0,4.800096273E-2,6.448250949E-2,-3.454312813E-1
2.359117250E0,3.446977481E-2,-3.018625081E-2,-3.290239942E-1
2.379120250E0,-1.150235027E-2,-4.560418904E-2,-2.364853746E-1
2.399123250E0,-1.084488934E-1,7.506304622E-2,1.212402624E-1
2.419126250E0,-2.501767762E-1,1.073589724E-1,3.604972172E-1
2.439129250E0,-1.986021414E-1,5.244777024E-2,3.160899532E-1
2.459131250E0,-7.282970220E-2,3.946285844E-2,2.325145304E-1
2.479134250E0,6.516254067E-2,3.938859880E-2,2.268339604E-1
2.499137250E0,6.442754567E-2,-1.024853182E-1,2.782613915E-1
2.519140250E0,7.630514100E-2,-1.455342740E-2,1.834926438E-1
2.539143250E0,1.020334746E-1,2.739420533E-2,7.251132131E-3
2.559146250E0,1.724058844E-1,-9.218515545E-2,-6.341071486E-2
2.579149250E0,1.468788412E-1,-2.453023911E-2,1.364669967E-1
2.599152250E0,-3.436671764E-2,-5.242759734E-2,2.811844146E-1
2.619155250E0,1.518653467E-2,-4.113779336E-2,1.376019412E-1
2.639158250E0,8.520314142E-2,-1.205991152E-1,-2.780479681E-1
2.659161250E0,1.610505916E-1,-3.963710546E-2,-2.409199029E-1
2.679164250E0,1.212123419E-1,1.158742726E-2,-7.727563262E-2
2.699167250E0,1.507852198E-1,-5.112776130E-2,-3.709181249E-2
2.719170250E0,-5.494643167E-2,-8.398735911E-2,-1.657112610E-1
2.739173250E0,-9.102886856E-2,2.769200402E-1,-1.294468296E-1
2.759176250E0,-1.349866278E-1,3.300522271E-1,-1.478702366E-2
2.779178250E0,-1.651772641E-1,2.552075744E-1,8.175459981E-2
2.799181250E0,-3.750864588E-2,1.085477114E-1,3.308559269E-1
2.819184250E0,2.189675550E-1,2.567717046E-2,4.328705442E-1
2.839187250E0,7.581733704E-2,1.988980106E-1,1.111280876E-1
2.859190250E0,-3.411854719E-1,4.778929353E-1,-4.139828682E-3
2.879192750E0,-4.121838261E-1,6.317097902E-2,3.678822505E-1
2.899195750E0,-1.705633537E-1,-1.786154813E-1,6.606277800E-1
2.919198750E0,-3.148431806E-1,-1.928259695E-1,8.511517006E-1
