"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
9.110822678E-1,3.211239393E1,1.189552873E2,1.564776706E1,0.000000000E0,2.710154581E1,4.830981033E0,4.830981033E0
1.911082149E0,3.211239720E1,1.189552879E2,1.556413766E1,0.000000000E0,2.710154642E1,4.840736542E0,4.840736542E0
2.761772230E0,3.211241442E1,1.189553044E2,1.544592609E1,0.000000000E0,2.710155383E1,4.864032574E0,4.864032574E0
3.761770680E0,3.211241808E1,1.189553080E2,1.543942966E1,0.000000000E0,2.710155544E1,4.869381003E0,4.869381003E0
4.761769369E0,3.211242282E1,1.189553118E2,1.539574543E1,0.000000000E0,2.710155725E1,4.891812770E0,4.891812770E0
5.761768296E0,3.211241996E1,1.189553063E2,1.546039678E1,0.000000000E0,2.710155518E1,4.890521526E0,4.890521526E0
6.761766746E0,3.211242335E1,1.189552951E2,1.558796317E1,0.000000000E0,2.710155214E1,4.876120992E0,4.876120992E0
7.761765077E0,3.211241523E1,1.189552944E2,1.554974567E1,0.000000000E0,2.710155084E1,4.857821775E0,4.857821775E0
8.761762574E0,3.211240195E1,1.189552958E2,1.550427497E1,0.000000000E0,2.710154951E1,4.852120631E0,4.852120631E0
9.761760309E0,3.211237953E1,1.189553114E2,1.586450033E1,1.341454958E0,1.470921124E2,4.841619294E0,4.841619294E0
1.076175900E1,3.211235822E1,1.189553141E2,1.590940301E1,1.682747008E0,1.612119992E2,4.838891222E0,4.838891222E0
1.176175626E1,3.211233940E1,1.189553120E2,1.588206793E1,1.690507237E0,1.718419198E2,4.852109468E0,4.852109468E0
1.276175459E1,3.211232332E1,1.189553088E2,1.561174751E1,1.532158919E0,1.839852383E2,4.860957629E0,4.860957629E0
1.376175339E1,3.211231654E1,1.189552884E2,1.577003288E1,1.327325778E0,2.232257081E2,4.881324160E0,4.881324160E0
1.476175137E1,3.211230711E1,1.189552758E2,1.598257271E1,1.286608835E0,2.346835626E2,4.921861855E0,4.921861855E0
