"Time (s)","X (µT)","Y (µT)","Z (µT)"
7.412095834E-2,-2.990943909E1,-1.588833618E1,-4.245751953E1
9.412395835E-2,-3.029057312E1,-1.552916718E1,-4.269940186E1
1.141269583E-1,-3.062065125E1,-1.507385254E1,-4.200222778E1
1.341299583E-1,-3.109828186E1,-1.471824646E1,-4.209048462E1
1.541329583E-1,-3.120350647E1,-1.476760864E1,-4.203857422E1
1.741359583E-1,-3.157508850E1,-1.462272644E1,-4.152618408E1
1.941389584E-1,-3.197335815E1,-1.464107513E1,-4.101593018E1
2.141419583E-1,-3.266671753E1,-1.420429230E1,-4.069177246E1
2.341449583E-1,-3.329507446E1,-1.383964539E1,-4.072775269E1
2.541469583E-1,-3.369326782E1,-1.394485474E1,-4.054040527E1
2.741499583E-1,-3.406373596E1,-1.383625031E1,-4.016116333E1
2.941529583E-1,-3.406010437E1,-1.337432098E1,-3.980816650E1
3.141559583E-1,-3.442802429E1,-1.319138336E1,-3.964157104E1
3.341589583E-1,-3.428207397E1,-1.315949249E1,-3.951483154E1
3.541619583E-1,-3.424121094E1,-1.334209442E1,-3.970513916E1
3.741649583E-1,-3.429949951E1,-1.306864929E1,-3.963473511E1
3.941679584E-1,-3.426986694E1,-1.268351746E1,-3.971389771E1
4.141709583E-1,-3.416680908E1,-1.284613800E1,-3.976751709E1
4.341739583E-1,-3.433923340E1,-1.255249786E1,-3.982757568E1
4.541769583E-1,-3.431881714E1,-1.206552887E1,-4.021978760E1
4.741799583E-1,-3.425160217E1,-1.168663788E1,-3.996923828E1
4.941829583E-1,-3.414070129E1,-1.123831940E1,-4.041864014E1
5.141859583E-1,-3.417111206E1,-1.107008362E1,-4.057650757E1
5.341879583E-1,-3.421066284E1,-1.053565979E1,-4.057977295E1
5.541909583E-1,-3.408459473E1,-9.939300537E0,-4.066418457E1
5.741939583E-1,-3.433361816E1,-9.507194519E0,-4.131219482E1
5.941969584E-1,-3.425028992E1,-8.780105591E0,-4.143399048E1
6.141999583E-1,-3.366438293E1,-8.558807373E0,-4.184216309E1
6.342029583E-1,-3.302999878E1,-8.296913147E0,-4.205987549E1
6.542059583E-1,-3.235830688E1,-8.048637390E0,-4.323074341E1
6.742089583E-1,-3.123190308E1,-8.271507263E0,-4.394219971E1
6.942119583E-1,-3.058335876E1,-8.295616150E0,-4.378768921E1
7.142149583E-1,-2.991769409E1,-7.901046753E0,-4.495758057E1
7.342179584E-1,-2.913594055E1,-6.948684692E0,-4.549291992E1
7.542209583E-1,-2.868521118E1,-6.515472412E0,-4.606307983E1
7.742229583E-1,-2.873495483E1,-5.619865417E0,-4.633029175E1
7.942259584E-1,-2.924324036E1,-4.576950073E0,-4.613156128E1
8.142289583E-1,-2.997256470E1,-3.609893799E0,-4.615646362E1
8.342319583E-1,-3.030052185E1,-2.656845093E0,-4.621899414E1
8.542349583E-1,-3.025000000E1,-1.667732239E0,-4.634432983E1
8.742379583E-1,-2.949082947E1,-7.576446533E-1,-4.697610474E1
8.942409583E-1,-2.867590332E1,-1.280364990E-1,-4.795693970E1
