"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
8.449322900E-2,-3.671250153E1,-1.981875038E1,-3.195000076E1
1.044932290E-1,-3.686250305E1,-1.961250114E1,-3.166875076E1
1.244932290E-1,-3.678750229E1,-1.961250114E1,-3.151875114E1
1.444932290E-1,-3.706875229E1,-1.953750038E1,-3.140625191E1
1.644932290E-1,-3.736875153E1,-1.891875076E1,-3.108750153E1
1.844932290E-1,-3.738750076E1,-1.813125038E1,-3.120000076E1
2.044932290E-1,-3.774375153E1,-1.732500076E1,-3.135000038E1
2.244932290E-1,-3.755625153E1,-1.693125153E1,-3.123750114E1
2.444932290E-1,-3.781875229E1,-1.665000153E1,-3.159375191E1
2.644932290E-1,-3.813750076E1,-1.618125153E1,-3.148125076E1
2.844932290E-1,-3.830625153E1,-1.575000095E1,-3.123750114E1
3.044932290E-1,-3.868125153E1,-1.520625019E1,-3.136875153E1
3.244932290E-1,-3.888750076E1,-1.443750095E1,-3.110625076E1
3.444932290E-1,-3.885000229E1,-1.428750038E1,-3.097500038E1
3.644932290E-1,-3.896250153E1,-1.365000057E1,-3.099375153E1
3.844932290E-1,-3.883125305E1,-1.280625057E1,-3.073125076E1
4.044932290E-1,-3.875625229E1,-1.201875019E1,-3.084375191E1
4.244932290E-1,-3.905625153E1,-1.115625000E1,-3.097500038E1
4.444932290E-1,-3.931875229E1,-1.050000000E1,-3.135000038E1
4.644932290E-1,-3.956250000E1,-9.543750763E0,-3.163125038E1
4.844932290E-1,-3.982500076E1,-8.493750572E0,-3.183750153E1
5.044932290E-1,-3.999375153E1,-7.331250191E0,-3.189375114E1
5.244932290E-1,-3.963750076E1,-5.325000286E0,-3.195000076E1
5.444932290E-1,-3.961875153E1,-3.225000143E0,-3.234375000E1
5.644932290E-1,-3.930000305E1,-8.062500358E-1,-3.264375305E1
5.844932290E-1,-3.886875153E1,1.931250095E0,-3.301875305E1
6.044932290E-1,-3.892500305E1,3.975000143E0,-3.283125305E1
6.244932290E-1,-3.849375153E1,6.468750477E0,-3.260625076E1
6.444932290E-1,-3.791250229E1,8.587500572E0,-3.221250153E1
6.644932290E-1,-3.738750076E1,1.051875019E1,-3.240000153E1
6.844932290E-1,-3.613125229E1,1.192500019E1,-3.283125305E1
7.044932290E-1,-3.502500153E1,1.256250095E1,-3.330000305E1
7.244932290E-1,-3.423750305E1,1.323750019E1,-3.408750153E1
7.444932290E-1,-3.352500153E1,1.366875076E1,-3.386250305E1
7.644932290E-1,-3.309375000E1,1.462500095E1,-3.393750000E1
7.844932290E-1,-3.268125153E1,1.595625019E1,-3.358125305E1
8.044932290E-1,-3.215625000E1,1.683750153E1,-3.283125305E1
8.244932290E-1,-3.187500191E1,1.824375153E1,-3.271875000E1
8.444932290E-1,-3.178125191E1,1.931250000E1,-3.198750114E1
8.644932290E-1,-3.140625191E1,1.976250076E1,-3.185625076E1
8.844932290E-1,-3.144375038E1,2.081250000E1,-3.174375153E1
9.044932290E-1,-3.120000076E1,2.105625153E1,-3.127500153E1
9.244932290E-1,-3.140625191E1,2.124375153E1,-3.116250038E1
9.444932290E-1,-3.187500191E1,2.120625114E1,-3.075000191E1
9.644932290E-1,-3.215625000E1,2.077500153E1,-3.031875038E1
9.844932290E-1,-3.251250076E1,2.030625153E1,-3.043125153E1
1.004493229E0,-3.241875076E1,1.993125153E1,-3.030000114E1
1.024493229E0,-3.228750229E1,1.972500038E1,-3.071250153E1
1.044493229E0,-3.255000305E1,1.985625076E1,-3.088125038E1
1.064493229E0,-3.228750229E1,2.043750000E1,-3.063750076E1
1.084493229E0,-3.150000191E1,2.143125153E1,-3.076875114E1
1.104493229E0,-3.035625076E1,2.274375153E1,-3.037500191E1
1.124493229E0,-2.868750191E1,2.392500114E1,-3.043125153E1
1.144493229E0,-2.775000191E1,2.491875076E1,-3.035625076E1
1.164493229E0,-2.741250038E1,2.555625153E1,-3.020625114E1
1.184493229E0,-2.786250114E1,2.598750114E1,-2.983125114E1
1.204493229E0,-2.833125114E1,2.617500114E1,-2.891250038E1
1.224493229E0,-2.893125153E1,2.600625038E1,-2.767500114E1
1.244493229E0,-2.975625038E1,2.596875191E1,-2.649375153E1
1.264493229E0,-3.060000038E1,2.557500076E1,-2.540625191E1
1.284493229E0,-3.170625114E1,2.499375153E1,-2.491875076E1
1.304493229E0,-3.215625000E1,2.482500076E1,-2.538750076E1
1.324493229E0,-3.223125076E1,2.461875153E1,-2.578125191E1
1.344493229E0,-3.191250038E1,2.456250191E1,-2.636250114E1
1.364493229E0,-3.080625153E1,2.475000191E1,-2.761875153E1
1.384493229E0,-2.932500076E1,2.439375114E1,-2.863125038E1
1.404493229E0,-2.746875191E1,2.405625153E1,-3.030000114E1
1.424493229E0,-2.566875076E1,2.355000114E1,-3.189375114E1
1.444493229E0,-2.445000076E1,2.304375076E1,-3.292500305E1
1.464493229E0,-2.355000114E1,2.266875076E1,-3.399375153E1
1.484493229E0,-2.317500114E1,2.169375038E1,-3.468750000E1
1.504493229E0,-2.296875000E1,2.118750000E1,-3.534375000E1
1.524493229E0,-2.272500038E1,2.004375076E1,-3.609375000E1
1.544493229E0,-2.308125114E1,1.903125000E1,-3.641250229E1
1.564493229E0,-2.285625076E1,1.856250000E1,-3.690000153E1
1.584493229E0,-2.255625153E1,1.762500000E1,-3.763125229E1
1.604493229E0,-2.163750076E1,1.726875114E1,-3.828750229E1
1.624493229E0,-2.013750076E1,1.706250000E1,-3.954375076E1
1.644493229E0,-1.946250153E1,1.640625000E1,-3.993750000E1
1.664493229E0,-1.891875076E1,1.601250076E1,-4.006875229E1
1.684493229E0,-1.912500000E1,1.569375038E1,-4.005000305E1
1.704493229E0,-1.991250038E1,1.545000076E1,-3.954375076E1
1.724493229E0,-2.060625076E1,1.545000076E1,-3.941250229E1
1.744493229E0,-2.158125114E1,1.584375095E1,-3.905625153E1
1.764493229E0,-2.341875076E1,1.635000038E1,-3.806250000E1
1.784493229E0,-2.550000191E1,1.710000038E1,-3.656250000E1
1.804493229E0,-2.797500038E1,1.839375114E1,-3.412500000E1
1.824493229E0,-3.030000114E1,1.950000000E1,-3.121875191E1
