"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-2.412862539E0,5.600102425E0,7.133901596E0
2.139760400E-2,-3.530908823E0,5.240880013E0,9.738489151E0
4.268567700E-2,-5.264209747E0,5.137988567E0,1.093071270E1
6.397500000E-2,-4.941178799E0,4.683053017E0,1.105783176E1
8.526432300E-2,-3.696013689E0,4.606482506E0,1.078475094E1
1.065536460E-1,-2.106581211E0,4.618446827E0,9.812666893E0
1.278429690E-1,-6.508477330E-1,4.214059830E0,8.517551422E0
1.491322920E-1,-2.605185509E-1,2.923431158E0,7.648657799E0
1.704216150E-1,-1.371386528E0,3.002394199E0,8.050651550E0
1.917109370E-1,-1.089033365E0,2.937788010E0,9.003593445E0
2.130002600E-1,-5.814558864E-1,2.708076954E0,9.484849930E0
2.342895830E-1,-1.404886007E0,2.791825771E0,9.017950058E0
2.555789060E-1,-2.659622431E0,3.318545818E0,8.500801086E0
2.768682290E-1,-2.343470573E0,3.270689487E0,8.931808472E0
2.981576040E-1,-2.015354872E0,3.218047380E0,9.724132538E0
3.194469270E-1,-2.185544491E0,3.826123476E0,9.724132538E0
3.407362500E-1,-1.936391711E0,4.170989037E0,8.994022369E0
3.620255730E-1,-1.634896040E0,4.036691666E0,8.570193291E0
3.833148960E-1,-1.050748229E0,3.601198196E0,7.837690353E0
4.046042190E-1,-9.068797827E-1,3.163012505E0,7.370790958E0
4.258935940E-1,-8.207381964E-1,2.861217737E0,7.782655716E0
4.471829170E-1,-6.795616150E-1,2.382354021E0,8.754440308E0
4.684722400E-1,-1.282852054E0,2.427817583E0,9.499206543E0
4.897615620E-1,-1.060319543E0,2.655434847E0,8.773882866E0
5.110509370E-1,-2.463111877E0,5.265107155E0,8.840881348E0
5.323402600E-1,-2.812762976E0,5.020740032E0,9.937392235E0
5.536295830E-1,3.595215976E-1,1.561316729E0,1.056461143E1
5.749189060E-1,2.123929262E0,-4.929214716E-1,7.636394501E0
