"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.523807300E-2,-2.286019564E0,-5.266877651E0,-1.446104527E0
9.652796900E-2,-2.547462225E0,-3.579030514E0,-1.108916879E0
1.178178130E-1,-2.747209072E0,-2.141096115E0,-4.210264683E-1
1.391076570E-1,-2.606714249E0,-1.346994519E0,1.011410356E0
1.603975530E-1,-2.166904211E0,-2.211267054E-1,1.867818236E0
1.816873960E-1,-9.268843532E-1,4.764608666E-2,1.892862916E0
2.029772400E-1,4.653128982E-1,-5.051707029E-1,1.626533508E0
2.242671360E-1,1.375475287E0,-1.248648167E0,1.511083364E0
2.455569800E-1,8.739697337E-1,2.803254366E0,1.219098449E0
2.668468750E-1,1.192221165E0,1.484358788E0,1.074327588E0
2.881367190E-1,1.313168883E0,1.704263836E-1,6.265766025E-1
3.094266150E-1,1.362647533E0,-1.540022254E0,7.634063363E-1
3.307164590E-1,2.593581200E0,-3.717158318E0,4.402681589E-1
3.520063030E-1,3.895296574E0,-4.096494198E0,-6.856760383E-2
3.732961980E-1,4.297844887E0,-2.969404936E0,-2.780882120E-1
3.945860420E-1,3.490304947E0,-3.806341887E0,-6.507050395E-1
4.158759380E-1,3.661342144E0,-5.214344978E0,-1.435109258E0
4.371657820E-1,5.357741356E0,-7.932691574E0,-2.763702154E0
4.584556780E-1,6.273401260E0,-9.586331367E0,-4.807062626E0
4.797455210E-1,5.796940327E0,-9.093378067E0,-6.461313248E0
5.010354170E-1,4.683365822E0,-7.147141933E0,-7.307947636E0
5.223253130E-1,4.172010422E0,-5.590626717E0,-7.279848576E0
5.436151570E-1,3.988145351E0,-5.469068050E0,-6.333035469E0
5.649050530E-1,2.850747824E0,-3.480684042E0,-4.945114136E0
5.861948960E-1,1.081657767E0,-5.002838969E-1,-2.555403233E0
6.074847920E-1,1.287360638E-1,-6.572716236E-1,-2.066190839E-1
6.287746360E-1,4.054498672E-1,-1.903476357E0,9.208522737E-2
6.500645320E-1,8.880192041E-1,-2.930921555E0,-9.470423460E-1
6.713544280E-1,1.863542318E0,-1.400138259E0,-6.250494719E-1
6.926442710E-1,1.710830450E0,-5.112791657E-1,7.017107606E-1
7.139341670E-1,2.235013723E0,-1.244372249E0,1.983955503E0
7.352240110E-1,2.307093859E0,-8.600729704E-1,1.603321314E0
7.565139070E-1,1.527576327E0,-1.067226529E0,7.579087615E-1
7.778038030E-1,2.239900589E0,-1.518642664E0,3.021174192E0
7.990936460E-1,2.322364807E0,2.596788168E0,4.102373600E0
8.203835420E-1,-2.764083818E-2,8.851176500E-1,2.282659769E0
8.416734380E-1,8.947384953E-1,-8.765658140E-1,2.495234728E0
8.629632820E-1,2.148273468E0,-9.205468297E-1,4.256307125E0
8.842531780E-1,1.039509296E0,2.015261412E0,4.296012402E0
9.055430730E-1,-2.138194561E0,2.125748396E-1,1.854379535E0
9.268329170E-1,-3.365386724E0,1.588202864E-1,7.994463444E-1
9.481228130E-1,-2.531580210E0,-1.241317987E0,1.831014603E-1
9.694127090E-1,-1.184051037E0,4.544703662E-1,2.916795574E-2
9.907026050E-1,1.510472536E0,-3.405549765E0,-4.503471553E-1
1.011992448E0,1.265522838E0,-9.779664874E-1,-1.158395529E0
1.033282344E0,1.162289619E0,-1.325004101E0,4.213318825E-1
1.054572240E0,1.788255423E-1,-1.056765765E-1,4.940227270E-1
1.075862136E0,-2.768665254E-1,5.424323678E-1,5.520532131E-1
1.097152032E0,1.666085869E-1,9.474241138E-1,-4.680617154E-1
1.118441928E0,1.387081385E0,5.705313683E-1,-1.097310781E0
1.139731823E0,1.980901361E0,-6.682668924E-1,-3.520007432E-1
1.161021667E0,2.138499975E0,3.280249834E-1,-4.902049154E-2
1.182311563E0,2.181869984E0,4.868452549E-1,3.283303976E-2
1.203601459E0,1.520246148E0,6.688777208E-1,-7.233958840E-1
1.224891355E0,4.109475017E-1,9.101624042E-2,-1.026452422E0
1.246181250E0,-2.225011140E-1,3.567348123E-1,-7.209524512E-1
1.267471146E0,-3.008422814E-2,7.647807598E-1,-9.293277264E-1
1.288761094E0,-9.177216291E-1,6.432221532E-1,-1.382576466E0
1.310050990E0,-1.654403448E0,-2.260134928E-2,-1.742976308E0
1.331340886E0,-9.531508088E-1,-2.162399292E-1,-1.159617186E0
1.352630782E0,-3.691044450E-1,4.123218954E-1,-2.896943092E-1
1.373920678E0,-1.078985333E0,3.762819171E-1,-2.084516287E-1
1.395210573E0,-1.769853592E0,-2.217375487E-1,-3.342861533E-1
1.416500469E0,-1.311107278E0,-2.950392365E-1,7.742489129E-2
1.437790417E0,-5.444176197E-1,5.827482939E-1,7.047650218E-1
1.459080313E0,-3.782671690E-1,6.077930331E-1,1.040731072E0
1.480370209E0,-8.566369414E-1,-3.292466700E-1,9.594883323E-1
1.501660157E0,-5.657972693E-1,-6.267293096E-1,1.419456363E0
1.522950053E0,-2.115058601E-1,-1.368297935E-1,9.759812355E-1
1.544239948E0,-1.382041872E-1,2.620534599E-1,1.317444801E0
1.565529896E0,-7.870003581E-1,9.755230546E-1,1.274685502E0
1.586819792E0,-1.428389907E0,7.904363275E-1,1.313168883E0
1.608109740E0,-9.843040109E-1,4.630222321E-1,1.198329568E0
1.629399636E0,4.133908749E-1,2.541124523E-1,5.471664071E-1
1.650689584E0,1.058445573E0,4.630222321E-1,-5.260922313E-1
1.671979480E0,8.880192041E-1,2.583884001E-1,-1.871254206E0
1.693269428E0,1.126860499E0,-9.162709117E-2,-1.752749801E0
1.714559323E0,9.399412274E-1,-2.015795931E-2,-1.099754095E0
1.735849271E0,7.108734846E-1,-2.748812735E-1,-1.065546632E0
1.757139219E0,6.113054156E-1,-6.927008033E-1,-6.775823236E-1
