"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.876729200E-2,-6.260092258E-1,1.139446020E0,-7.530193329E-1
1.024227090E-1,4.338655472E-1,3.410007954E-1,-1.661347389E0
1.260780730E-1,-3.555178642E-1,1.209110975E0,6.639194489E-1
1.497334900E-1,-7.919188738E-1,-1.970774233E-1,-4.504041672E-1
1.733889070E-1,8.738775849E-1,-3.376816511E-1,1.472652435E0
1.970443230E-1,1.149935603E0,-6.883578897E-1,5.729198456E-1
2.206996880E-1,-1.072437525E0,-2.232633829E0,-2.363634109E-1
2.443551050E-1,1.164465547E0,-3.755153179E0,-1.778615952E0
2.680105210E-1,-3.803355694E-1,1.811230898E0,8.333351135E0
2.916659380E-1,-9.160541296E-1,-4.956731200E-1,1.103601456E-1
3.153213550E-1,1.712415695E0,5.012651086E-1,5.370779037E0
3.389767710E-1,2.880404711E0,-4.782515764E-1,5.362972260E0
3.626321360E-1,-9.043701887E-1,-1.228275657E0,-1.255298615E0
3.862875530E-1,6.950477362E-1,4.497764111E-1,-3.589025497E0
4.099429690E-1,3.065316916E0,3.803105354E-1,2.351820946E0
4.335983860E-1,2.572267532E0,-1.080590725E0,7.976387978E0
4.572538030E-1,3.228744030E0,-3.877072811E0,4.293466568E0
4.809092190E-1,5.314974785E-1,-6.045146465E0,-9.775962830E-1
5.045646360E-1,-3.613562584E0,-6.690262794E0,-4.373805523E-1
5.282200530E-1,-8.524308205E0,-9.520097733E0,3.439158678E0
5.518754690E-1,-1.174724770E1,-8.188440323E0,1.123603106E0
5.755308860E-1,-1.355599308E1,-4.425250053E0,-3.859476566E0
5.991863030E-1,-1.121779060E1,-3.274044037E0,-8.695520163E-1
6.228417190E-1,2.511197329E-1,-3.869115353E0,1.385737896E0
6.464971360E-1,6.466213226E0,-4.172104836E0,1.827365518E0
6.701525530E-1,1.824120283E-1,-1.434511185E0,1.778163314E-1
6.938079690E-1,-4.070127487E0,-3.363994598E0,1.306886673E0
7.174633860E-1,2.411468267E0,-3.294728279E0,1.345423818E0
7.411188030E-1,7.734464645E0,-2.691744804E0,-2.470962048E0
7.647742190E-1,-5.394585133E0,2.156406403E0,2.704822302E0
7.884296360E-1,5.161685944E0,7.149608612E0,-2.348576307E0
8.120850530E-1,1.143012905E1,-5.073449612E0,-9.075567245E0
8.357404690E-1,-3.848793983E0,-8.138800621E0,5.539312363E0
8.593958860E-1,-7.320431709E0,-8.399535179E0,2.744894505E0
8.830513030E-1,1.715572548E1,-7.757072449E-1,-1.687957382E1
9.067067190E-1,1.549521828E1,-4.874496937E0,-1.665680122E1
9.303621360E-1,1.754362106E0,5.578606129E0,7.193570614E0
9.540175530E-1,1.291347027E0,-3.283481598E-1,9.162334442E0
9.776730210E-1,1.204258442E0,6.852797508E0,2.233797073E1
1.001328438E0,5.905540466E0,-2.274796009E0,-5.283098698E0
1.024983855E0,-1.511767578E1,1.683251381E0,-8.858640194E-1
1.048639271E0,-4.915864468E-1,-5.904378891E-1,-4.504667282E0
1.072294688E0,2.286683083E0,3.580027580E0,6.763141155E-1
1.095950157E0,7.247878075E0,1.441814423E0,9.106429100E0
1.119605573E0,-5.262584686E0,-6.918745041E-1,6.358952045E0
1.143260990E0,-4.429761410E0,-5.591363907E-1,6.162366867E-1
1.166916459E0,2.428513050E0,-2.047512531E0,6.730761528E-1
1.190571875E0,4.639527321E0,1.925846577E0,-3.242351532E0
1.214227344E0,4.717720985E0,-1.988428116E0,-8.513515472E0
1.237882761E0,-9.413852692E-1,1.275085449E0,-4.118612289E0
1.261538230E0,2.941670656E0,-1.275184631E0,3.146285295E0
1.285193646E0,3.268022299E0,1.488800526E0,-7.198554039E0
1.308849115E0,-8.727612495E-1,-1.399466515E0,-1.629570484E0
1.332504532E0,-6.297400475E0,-2.394205093E0,5.978632927E0
1.356160000E0,-1.290287733E0,-2.335234642E0,-1.488476276E0
1.379815417E0,5.205191612E0,5.517024994E-1,-3.480275631E0
1.403470886E0,-1.619786978E0,-3.655023575E-1,3.916150093E0
1.427126355E0,-3.198090076E0,-1.101188660E0,2.015933037E0
1.450781771E0,-8.928637505E-1,-2.480502129E0,-2.875571012E0
1.474437240E0,4.419819832E0,-3.186950684E0,-4.087575912E0
1.498092709E0,2.674130678E0,-2.260803223E0,1.403951406E0
1.521748178E0,2.874929428E0,1.183239937E0,-6.257362366E-1
1.545403646E0,1.621584892E-1,-3.439574718E0,-2.745513201E0
1.569059115E0,6.210121632E0,1.038303375E-1,-3.276787996E0
1.592714584E0,5.164563656E0,-2.322226524E0,3.005933762E0
1.616370053E0,3.370933533E0,-6.592540741E-1,8.484027863E0
1.640025521E0,4.910358906E0,1.496846676E0,2.764385223E0
1.663680990E0,5.198316097E0,6.221153259E0,-1.574422359E0
1.687336459E0,-5.913983822E0,3.067534447E0,1.153652191E0
1.710991928E0,-8.614553452E0,2.816785812E0,-3.564498663E0
1.734647396E0,-6.210927010E0,-1.473608971E0,-4.729606628E0
1.758302865E0,-7.144333839E0,3.827066422E-1,-5.786700249E0
1.781958334E0,-2.960067749E0,5.036345482E0,-4.596821785E0
1.805613855E0,-2.134083986E0,-4.658987522E0,-3.216601133E0
1.829269323E0,4.131650925E-1,-4.644371033E0,-4.098674297E0
1.852924792E0,5.153491974E0,-2.202644348E-1,1.559698582E0
1.876580261E0,4.006822109E0,-3.375290871E0,1.438799620E0
1.900235782E0,1.624447346E0,2.639554024E0,4.159754753E0
1.923891250E0,2.803529739E0,2.149925232E-1,4.883448601E0
1.947546771E0,-1.977571011E0,-9.795999527E-1,1.098205805E0
1.971202240E0,3.538183212E0,5.064710617E0,-4.181396008E0
1.994857761E0,-4.836292267E0,-1.463127136E-1,4.972743988E-1
2.018513230E0,-1.082903671E1,-3.785255909E0,-3.423446417E0
2.042168750E0,-9.310247421E0,-2.152389526E0,-8.018012047E0
2.065824219E0,1.171156168E0,1.195910454E0,-9.605982780E0
2.089479740E0,4.042756081E0,-3.402161121E0,-5.110812187E0
2.113135209E0,8.880174637E0,-2.835639954E0,4.522479534E0
2.136790730E0,1.093885803E1,-4.373936653E0,7.313630581E0
2.160446250E0,3.357615948E0,5.952434540E-1,1.667530441E1
2.184101719E0,2.237049580E0,8.650665283E-1,7.008088112E0
2.207757240E0,2.879536629E0,4.813356400E-1,-2.217726231E0
2.231412761E0,-2.636777878E0,1.959476471E-1,-7.213894367E0
2.255068282E0,5.574164391E-1,-2.687799454E0,8.670597076E-1
2.278723803E0,1.683361530E0,-2.900984764E0,4.618965149E0
2.302379323E0,7.130551338E-1,-3.206759930E0,1.491609573E0
2.326034792E0,-1.428054571E0,-3.179903269E0,2.488937378E-1
2.349690313E0,-1.172512531E0,-2.995595932E0,-5.208072662E-1
2.373345834E0,9.557867050E-2,-2.637017965E0,-1.473402977E-1
2.397001355E0,1.168052912E0,-2.355475426E0,-2.059492111E0
2.420656875E0,5.705688000E-1,-1.208854198E0,-2.914762497E-1
2.444312396E0,2.599744081E0,-2.632781267E0,-1.709146500E0
2.467967917E0,3.342027903E0,-2.119324207E0,-1.914215088E0
2.491623438E0,3.330588579E0,-2.277645111E0,-3.725087643E0
2.515278959E0,2.059603214E0,-7.224588394E-1,-1.707979679E0
2.538934480E0,2.045250416E0,-1.258055687E0,2.359972000E-1
2.562590000E0,2.232872248E0,-1.048006535E0,-2.832275391E0
2.586245521E0,1.534530520E0,-9.658584595E-1,-5.749696732E0
2.609901042E0,1.245635509E0,-1.361451149E-1,-1.495091438E0
2.633556563E0,-1.645630002E0,1.817403316E0,4.598274231E-1
2.657212136E0,3.863977194E-1,-1.185467720E0,-2.079765320E0
2.680867657E0,2.020785809E-1,-2.845923901E-1,-4.055182457E0
2.704523178E0,1.854651809E0,1.616842031E0,-2.405127525E0
2.728178698E0,1.317860126E0,-5.000600815E-1,-3.950912952E0
2.751834219E0,1.377547741E0,3.815889359E-1,5.278835297E-1
2.775489740E0,6.423017979E-1,-1.139420509E0,1.506522179E0
