"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,3.212726423E1,1.189551911E2,3.536442838E1,1.289999962E0,2.645000000E2,8.351601601E0,1.289002991E1
1.140169790E-1,3.212726353E1,1.189551826E2,3.526740960E1,1.289999962E0,2.645000000E2,8.890130043E0,1.289002991E1
1.126124531E0,3.212721825E1,1.189551654E2,3.754814618E1,1.379999995E0,2.703999939E2,3.790092468E0,4.571928978E0
2.131562759E0,3.212716217E1,1.189551836E2,3.011713629E1,1.159999967E0,2.702000122E2,3.790092468E0,2.500000000E0
3.126096249E0,3.212716043E1,1.189551647E2,2.881629293E1,2.380000114E0,2.521000061E2,3.790092468E0,2.500000000E0
4.126324686E0,3.212715462E1,1.189551415E2,2.690382305E1,2.490000010E0,2.607999878E2,3.790092468E0,2.500000000E0
5.125676664E0,3.212715066E1,1.189551150E2,2.652530318E1,2.529999971E0,2.598999939E2,3.790092468E0,2.500000000E0
6.125511508E0,3.212714823E1,1.189550934E2,2.613505097E1,1.840000033E0,2.546000061E2,3.790092468E0,2.500000000E0
7.130823174E0,3.212714246E1,1.189550627E2,2.563923226E1,2.450000048E0,2.712000122E2,3.790092468E0,2.500000000E0
8.129094424E0,3.212713621E1,1.189550413E2,2.503290825E1,2.400000095E0,2.551000061E2,3.790092468E0,2.500000000E0
9.125614632E0,3.212713214E1,1.189550148E2,2.492886328E1,2.980000019E0,2.583999939E2,3.790092468E0,2.500000000E0
1.012753494E1,3.212712516E1,1.189549869E2,2.423985676E1,3.000000000E0,2.531000061E2,3.790092468E0,2.500000000E0
1.112830000E1,3.212711855E1,1.189549584E2,2.454420001E1,2.569999933E0,2.596000061E2,3.790092468E0,2.500000000E0
1.213205234E1,3.212711484E1,1.189549277E2,2.477262818E1,3.069999933E0,2.635000000E2,3.790092468E0,2.500000000E0
1.312728390E1,3.212710929E1,1.189548950E2,2.467708503E1,3.190000057E0,2.581000061E2,3.790092468E0,2.500000000E0
1.413360291E1,3.212710316E1,1.189548623E2,2.453057674E1,3.130000114E0,2.572999878E2,3.790092468E0,2.500000000E0
1.512621859E1,3.212709589E1,1.189548293E2,2.446963836E1,3.230000019E0,2.545000000E2,3.790092468E0,2.500000000E0
1.612610109E1,3.212708858E1,1.189547963E2,2.437189571E1,3.170000076E0,2.562999878E2,3.790092468E0,2.500000000E0
1.712756098E1,3.212708195E1,1.189547634E2,2.433103876E1,3.049999952E0,2.562000122E2,3.790092468E0,2.500000000E0
1.813060978E1,3.212707388E1,1.189547314E2,2.410383597E1,3.109999895E0,2.538999939E2,3.790092468E0,2.500000000E0
1.912565254E1,3.212706432E1,1.189547015E2,2.345700685E1,2.769999981E0,2.486000061E2,3.790092468E0,2.500000000E0
2.012800864E1,3.212705429E1,1.189546729E2,2.388469640E1,2.819999933E0,2.481999969E2,3.790092468E0,2.500000000E0
2.112540395E1,3.212704485E1,1.189546446E2,2.431635315E1,2.809999943E0,2.508999939E2,3.790092468E0,2.500000000E0
2.212836390E1,3.212703695E1,1.189546135E2,2.450858115E1,3.029999971E0,2.571000061E2,3.790092468E0,2.500000000E0
2.312600702E1,3.212703056E1,1.189545809E2,2.476111967E1,2.890000105E0,2.560000000E2,3.790092468E0,2.500000000E0
2.412696426E1,3.212702271E1,1.189545503E2,2.475034326E1,2.930000067E0,2.498999939E2,3.790092468E0,2.500000000E0
2.512825942E1,3.212701386E1,1.189545237E2,2.481731048E1,2.480000019E0,2.436999969E2,3.790092468E0,2.500000000E0
2.612912176E1,3.212700426E1,1.189544970E2,2.528991632E1,2.759999990E0,2.450000000E2,3.790092468E0,2.500000000E0
2.712553801E1,3.212699511E1,1.189544682E2,2.564015453E1,2.910000086E0,2.495000000E2,3.790092468E0,2.500000000E0
2.813102155E1,3.212698772E1,1.189544394E2,2.623404799E1,2.720000029E0,2.516999969E2,3.790092468E0,2.500000000E0
2.913320244E1,3.212698080E1,1.189544114E2,2.673852355E1,2.799999952E0,2.498999939E2,3.790092468E0,2.500000000E0
3.012547113E1,3.212697237E1,1.189543845E2,2.674836347E1,2.589999914E0,2.471999969E2,3.790092468E0,2.500000000E0
3.112581119E1,3.212696210E1,1.189543585E2,2.664369538E1,2.730000019E0,2.455000000E2,3.790092468E0,2.500000000E0
3.213018900E1,3.212695215E1,1.189543320E2,2.744485190E1,2.710000038E0,2.451000061E2,3.790092468E0,2.500000000E0
3.312635369E1,3.212694209E1,1.189543041E2,2.770646244E1,2.950000048E0,2.461999969E2,3.790092468E0,2.500000000E0
3.412614546E1,3.212693176E1,1.189542754E2,2.763048957E1,2.809999943E0,2.450000000E2,3.790092468E0,2.500000000E0
3.512733514E1,3.212692267E1,1.189542477E2,2.781403731E1,2.670000076E0,2.448000031E2,3.790092468E0,2.500000000E0
3.612625754E1,3.212691306E1,1.189542194E2,2.729043242E1,2.859999895E0,2.450000000E2,3.790092468E0,2.500000000E0
3.712604962E1,3.212690308E1,1.189541916E2,2.780295843E1,2.750000000E0,2.401999969E2,3.790092468E0,2.500000000E0
3.812704795E1,3.212689293E1,1.189541651E2,2.852647793E1,2.740000010E0,2.425000000E2,3.790092468E0,2.500000000E0
3.912893952E1,3.212688137E1,1.189541387E2,2.909746795E1,2.829999924E0,2.405000000E2,3.790092468E0,2.500000000E0
4.012926900E1,3.212687062E1,1.189541132E2,2.906256047E1,2.609999895E0,2.421999969E2,3.790092468E0,2.500000000E0
4.112780827E1,3.212685907E1,1.189540876E2,2.902807895E1,2.859999895E0,2.416000061E2,3.790092468E0,2.500000000E0
4.212729535E1,3.212684716E1,1.189540613E2,2.923920448E1,2.809999943E0,2.418000031E2,3.790092468E0,2.500000000E0
4.315488556E1,3.212683420E1,1.189540359E2,2.939960506E1,2.799999952E0,2.341000061E2,3.790092468E0,2.500000000E0
4.412783420E1,3.212681866E1,1.189540127E2,2.997405610E1,2.799999952E0,2.318000031E2,3.790092468E0,2.500000000E0
4.512662457E1,3.212680313E1,1.189539880E2,2.924657121E1,2.829999924E0,2.326999969E2,3.790092468E0,2.500000000E0
4.612562238E1,3.212678862E1,1.189539626E2,2.866612411E1,2.569999933E0,2.343000031E2,3.790092468E0,2.500000000E0
4.712900332E1,3.212677573E1,1.189539368E2,2.897325482E1,2.660000086E0,2.391999969E2,3.790092468E0,2.500000000E0
4.812728555E1,3.212676297E1,1.189539107E2,2.844200757E1,2.539999962E0,2.396000061E2,3.790092468E0,2.500000000E0
4.912946368E1,3.212674951E1,1.189538834E2,2.819463773E1,2.690000057E0,2.390000000E2,3.790092468E0,2.500000000E0
5.012649118E1,3.212673483E1,1.189538579E2,2.775414433E1,2.589999914E0,2.318000031E2,3.790092468E0,2.500000000E0
5.112719748E1,3.212672055E1,1.189538343E2,2.780339148E1,2.650000095E0,2.353999939E2,3.790092468E0,2.500000000E0
5.215226795E1,3.212670727E1,1.189538095E2,2.744151158E1,2.799999952E0,2.416000061E2,3.790092468E0,2.500000000E0
5.312589821E1,3.212669460E1,1.189537839E2,2.751115397E1,2.670000076E0,2.403999939E2,3.790092468E0,2.500000000E0
5.412824055E1,3.212668094E1,1.189537584E2,2.709446604E1,2.799999952E0,2.353000031E2,3.790092468E0,2.500000000E0
