"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,3.204954179E1,1.187856321E2,0.000000000E0,0.000000000E0,0.000000000E0,1.271499920E1,0.000000000E0
4.733817700E-1,3.204954179E1,1.187856321E2,0.000000000E0,0.000000000E0,0.000000000E0,1.271499920E1,0.000000000E0
4.021779687E0,3.204958891E1,1.187853541E2,4.035227376E1,8.169512153E-1,3.302623291E2,3.250078964E1,3.250078964E1
5.024289582E0,3.204959259E1,1.187853497E2,3.947226355E1,5.921813250E-1,3.275604858E2,2.989281464E1,2.989281464E1
6.021977082E0,3.204948913E1,1.187852652E2,4.138870595E1,8.424335122E-1,3.223427734E2,2.713097763E1,2.713097763E1
7.068796353E0,3.204961580E1,1.187852694E2,5.683566783E1,7.201378942E-1,3.202605896E2,2.088712883E1,2.088712883E1
8.059665623E0,3.204960029E1,1.187853005E2,4.072885903E1,6.118853092E-1,3.044727783E2,1.804478645E1,1.804478645E1
9.140569269E0,3.204959569E1,1.187852527E2,5.055342040E1,7.500354648E-1,2.876335449E2,1.885801888E1,1.885801888E1
1.014473229E1,3.204950537E1,1.187852461E2,5.155722188E1,7.748522162E-1,3.101477661E2,2.000000000E1,2.000000000E1
1.114594896E1,3.204960651E1,1.187852518E2,3.973360598E1,1.079273582E0,2.855513611E2,1.787859535E1,1.787859535E1
1.212858229E1,3.204962055E1,1.187852461E2,4.192152386E1,1.101017833E0,2.855513611E2,1.498149681E1,1.498149681E1
1.314339739E1,3.204961843E1,1.187852391E2,3.968838067E1,9.035543203E-1,3.079175415E2,1.295592308E1,1.295592308E1
1.416021823E1,3.204962099E1,1.187852329E2,2.866925310E1,1.128197908E0,2.903274536E2,4.699999809E0,4.699999809E0
1.516968073E1,3.204962544E1,1.187852249E2,2.722442253E1,1.203824520E0,2.598906250E2,4.699999809E0,4.699999809E0
1.616987864E1,3.204961180E1,1.187852216E2,2.848796675E1,1.256093144E0,2.481448212E2,4.699999809E0,4.699999809E0
1.720197604E1,3.204959917E1,1.187852104E2,2.721472722E1,1.302369356E0,2.625423584E2,4.699999809E0,4.699999809E0
1.816906458E1,3.204959187E1,1.187851962E2,2.650652520E1,1.318749666E0,2.860670776E2,4.699999809E0,4.699999809E0
1.916275625E1,3.204959273E1,1.187851842E2,2.559661175E1,1.378443241E0,2.943399658E2,4.699999809E0,4.699999809E0
2.015430573E1,3.204959750E1,1.187851697E2,2.552996970E1,1.418296456E0,2.959895630E2,4.699999809E0,4.699999809E0
2.116130208E1,3.204960569E1,1.187851645E2,2.643215144E1,1.448182225E0,3.082958984E2,4.813101292E0,4.813101292E0
2.215822396E1,3.204960957E1,1.187851575E2,2.723198193E1,1.485982895E0,3.079926758E2,4.750635147E0,4.750635147E0
2.315510781E1,3.204961318E1,1.187851451E2,2.628095469E1,1.513688803E0,3.111211548E2,4.719686031E0,4.719686031E0
2.416237500E1,3.204963254E1,1.187851323E2,2.581660959E1,1.771034241E0,3.194626770E2,4.798372746E0,4.798372746E0
