"Time (s)","Pressure (hPa)"
1.524600000E-1,1.019717285E3
2.324600000E-1,1.019716797E3
3.124600000E-1,1.019709961E3
3.924600000E-1,1.019714355E3
4.724600000E-1,1.019713379E3
5.524600000E-1,1.019713867E3
6.324600000E-1,1.019712402E3
7.124600000E-1,1.019717773E3
7.924600000E-1,1.019718262E3
8.724600000E-1,1.019724609E3
9.524600000E-1,1.019721191E3
1.032460000E0,1.019739258E3
1.112460000E0,1.019730957E3
1.192510000E0,1.019726562E3
1.272460000E0,1.019707520E3
1.352460000E0,1.019696289E3
1.432458438E0,1.019702148E3
1.512460000E0,1.019706055E3
1.592460000E0,1.019710449E3
1.672460000E0,1.019703125E3
1.752460000E0,1.019712402E3
1.832460000E0,1.019697754E3
1.912460000E0,1.019696777E3
1.992460000E0,1.019680664E3
2.072460000E0,1.019681152E3
2.152460000E0,1.019674316E3
2.232458438E0,1.019675293E3
2.312460000E0,1.019672852E3
2.392460000E0,1.019669434E3
2.472460000E0,1.019682129E3
2.552460000E0,1.019678223E3
2.632460000E0,1.019697754E3
2.712460000E0,1.019716309E3
2.792460000E0,1.019709473E3
2.872460000E0,1.019711914E3
2.952460000E0,1.019708496E3
3.032460000E0,1.019700684E3
3.112460000E0,1.019700684E3
3.192460000E0,1.019696777E3
3.272460000E0,1.019696777E3
3.352460000E0,1.019700195E3
3.432458438E0,1.019703125E3
3.512458438E0,1.019703125E3
3.592460000E0,1.019677246E3
3.672460000E0,1.019670898E3
3.752460000E0,1.019700195E3
3.832460000E0,1.019729004E3
3.912460000E0,1.019743652E3
3.992460000E0,1.019715820E3
4.072460000E0,1.019694824E3
4.152460000E0,1.019703613E3
4.232460000E0,1.019732422E3
4.312460000E0,1.019761230E3
4.392460000E0,1.019787598E3
4.472460000E0,1.019786133E3
4.552460000E0,1.019756836E3
4.632460000E0,1.019728027E3
4.712460000E0,1.019713867E3
4.792460000E0,1.019728027E3
4.872460000E0,1.019756836E3
4.952458438E0,1.019759766E3
5.032460000E0,1.019775391E3
5.112460000E0,1.019746582E3
5.192460000E0,1.019723145E3
5.272460000E0,1.019751953E3
5.352460000E0,1.019766113E3
5.432460000E0,1.019794922E3
5.512460000E0,1.019770996E3
5.592458438E0,1.019742188E3
5.672460000E0,1.019713379E3
5.752460000E0,1.019742188E3
5.832460000E0,1.019764648E3
5.912460000E0,1.019793457E3
5.992460000E0,1.019775879E3
6.072460000E0,1.019746582E3
6.152460000E0,1.019731445E3
6.232460000E0,1.019749512E3
6.312460000E0,1.019778320E3
6.392460000E0,1.019807129E3
6.472460000E0,1.019793457E3
6.552460000E0,1.019764160E3
6.632460000E0,1.019735352E3
6.712460000E0,1.019721191E3
6.792458438E0,1.019750000E3
6.872458438E0,1.019750000E3
6.952458438E0,1.019737305E3
7.032458438E0,1.019737305E3
7.112460000E0,1.019708496E3
7.192460000E0,1.019723633E3
7.272460000E0,1.019752441E3
7.352460000E0,1.019767090E3
7.432460000E0,1.019795898E3
7.512460000E0,1.019767090E3
7.592458438E0,1.019739258E3
7.672458438E0,1.019710449E3
7.752458438E0,1.019730957E3
7.832458438E0,1.019742676E3
7.912460000E0,1.019752441E3
7.992460000E0,1.019752441E3
8.072460000E0,1.019723145E3
8.152458438E0,1.019723145E3
8.232460000E0,1.019747559E3
8.312461563E0,1.019776367E3
8.392460000E0,1.019791016E3
8.472460000E0,1.019806641E3
8.552460000E0,1.019777832E3
8.632460000E0,1.019749023E3
8.712460000E0,1.019734375E3
8.792458438E0,1.019729492E3
8.872458438E0,1.019751953E3
8.952458438E0,1.019737305E3
9.032460000E0,1.019731934E3
9.112466250E0,1.019731934E3
9.192460000E0,1.019760742E3
9.272460000E0,1.019790039E3
9.352460000E0,1.019803711E3
9.432460000E0,1.019823730E3
9.512460000E0,1.019794434E3
9.592460000E0,1.019765625E3
9.672460000E0,1.019736816E3
9.752460000E0,1.019742676E3
9.832460000E0,1.019743164E3
9.912460000E0,1.019750488E3
9.992460000E0,1.019744141E3
1.007246000E1,1.019715332E3
1.015246000E1,1.019744141E3
1.023246000E1,1.019772461E3
1.031246000E1,1.019801270E3
1.039246000E1,1.019813965E3
1.047245844E1,1.019813965E3
1.055246000E1,1.019785156E3
1.063246000E1,1.019756348E3
1.071246000E1,1.019756348E3
1.079245844E1,1.019758301E3
1.087245844E1,1.019776367E3
1.095245844E1,1.019747070E3
1.103246000E1,1.019718262E3
1.111246000E1,1.019718262E3
1.119246000E1,1.019747070E3
1.127246000E1,1.019776367E3
1.135246000E1,1.019803223E3
1.143245844E1,1.019803223E3
1.151246000E1,1.019774414E3
1.159246000E1,1.019745605E3
1.167246000E1,1.019730957E3
1.175246000E1,1.019723145E3
1.183246000E1,1.019730957E3
1.191246000E1,1.019746094E3
1.199246000E1,1.019737305E3
1.207246000E1,1.019735352E3
1.215246000E1,1.019739746E3
1.223246000E1,1.019768555E3
1.231246000E1,1.019779785E3
1.239246000E1,1.019808594E3
1.247246000E1,1.019779785E3
1.255246000E1,1.019750977E3
1.263246000E1,1.019722168E3
1.271246000E1,1.019714355E3
1.279246000E1,1.019735840E3
1.287246000E1,1.019760742E3
1.295245844E1,1.019746094E3
1.303246000E1,1.019717773E3
1.311246000E1,1.019732910E3
1.319245844E1,1.019761719E3
1.327246000E1,1.019791016E3
1.335246000E1,1.019819824E3
1.343245844E1,1.019791016E3
1.351246000E1,1.019761719E3
1.359245844E1,1.019747559E3
1.367245844E1,1.019747559E3
1.375245844E1,1.019758789E3
1.383245844E1,1.019758301E3
1.391245844E1,1.019731934E3
1.399246000E1,1.019731934E3
1.407246000E1,1.019760742E3
1.415245844E1,1.019789551E3
1.423245844E1,1.019792969E3
1.431246000E1,1.019790527E3
1.439246000E1,1.019761719E3
1.447245844E1,1.019732910E3
1.455246000E1,1.019718262E3
1.463246000E1,1.019747070E3
1.471246000E1,1.019755371E3
1.479246000E1,1.019764648E3
1.487246000E1,1.019776855E3
1.495246000E1,1.019766602E3
1.503246000E1,1.019737793E3
1.511245844E1,1.019766602E3
1.519245844E1,1.019795898E3
1.527246000E1,1.019810059E3
1.535246000E1,1.019788086E3
1.543246156E1,1.019759277E3
1.551245844E1,1.019729980E3
1.559246000E1,1.019744629E3
1.567245844E1,1.019744629E3
1.575245844E1,1.019759277E3
1.583245844E1,1.019755859E3
1.591245844E1,1.019726562E3
1.599246000E1,1.019752441E3
1.607246000E1,1.019781250E3
1.615246000E1,1.019793945E3
1.623245844E1,1.019821777E3
1.631246000E1,1.019792969E3
1.639246000E1,1.019764160E3
1.647246000E1,1.019734863E3
1.655246000E1,1.019729980E3
1.663246000E1,1.019758789E3
1.671246000E1,1.019787598E3
1.679246000E1,1.019792480E3
1.687246000E1,1.019763672E3
1.695246000E1,1.019742676E3
1.703246000E1,1.019771484E3
1.711246000E1,1.019800293E3
1.719246000E1,1.019829102E3
1.727246000E1,1.019829102E3
1.735246156E1,1.019800293E3
1.743246000E1,1.019771484E3
1.751245844E1,1.019771484E3
1.759246000E1,1.019764160E3
1.767245844E1,1.019783691E3
1.775245844E1,1.019783691E3
1.783245844E1,1.019773438E3
1.791245844E1,1.019773438E3
1.799246000E1,1.019790527E3
1.807246000E1,1.019816406E3
