"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.852563000E-3,-3.696258366E-1,6.929829717E-1,-1.962448210E-1
2.485256300E-2,-4.494920969E-1,1.061439395E0,-4.515166879E-1
4.485256300E-2,-4.257905185E-1,1.148618579E0,-6.167818904E-1
6.485256300E-2,-1.986533701E-1,7.334746122E-1,-7.001214027E-1
8.485256300E-2,1.402546614E-1,8.614945412E-2,-6.509729028E-1
1.048525630E-1,1.649859697E-1,-2.168222517E-1,-4.982740581E-1
1.248525630E-1,-2.391101047E-2,1.534144394E-2,-3.682470322E-1
1.448541250E-1,4.218809903E-1,5.868844390E-1,-2.946988344E-1
1.668525630E-1,1.473616362E0,3.531324565E-1,-6.237806752E-2
1.868525630E-1,2.153404713E0,-1.588947773E-1,3.803770542E-1
2.068525630E-1,1.974403739E0,-2.830924094E-1,7.343298197E-1
2.268744380E-1,1.399247885E0,-1.721069217E-1,7.167892456E-1
2.488603750E-1,5.226039290E-1,-2.317797206E-2,3.212453127E-1
2.708510000E-1,-4.922701120E-1,8.436921835E-1,-2.834414691E-2
2.908510000E-1,-7.184123993E-1,1.342228055E0,-2.818008661E-1
3.108510000E-1,-3.798709214E-1,1.681572318E0,-3.410547972E-1
3.308510000E-1,2.684316412E-2,1.676912308E0,-1.628043056E-1
3.508510000E-1,1.611462533E-1,1.470614433E0,3.178244457E-2
3.708510000E-1,3.610737026E-1,1.084861755E0,1.555611938E-1
3.908525630E-1,4.509407282E-1,3.694512844E-1,2.366317362E-1
4.128510000E-1,3.672172725E-1,1.588249579E-3,2.950828075E-1
4.328510000E-1,2.497566193E-1,5.504768342E-2,3.582462668E-1
4.528510000E-1,2.181137949E-1,-1.649336144E-2,4.568748474E-1
4.728510000E-1,1.414065808E-1,-3.056071512E-2,5.205095410E-1
4.928510000E-1,-3.000221029E-2,-2.684316412E-2,3.851767182E-1
5.128510000E-1,-1.779188663E-1,-2.312735766E-1,1.720894575E-1
5.328510000E-1,-2.456725389E-1,-3.836233616E-1,-7.386233658E-2
5.528510000E-1,-3.769387603E-1,-2.893232405E-1,-2.621833682E-1
5.728510000E-1,-5.829574466E-1,6.129596382E-2,-2.834414840E-1
5.928525630E-1,-7.511722445E-1,7.641226053E-1,-2.386039644E-1
6.128916250E-1,-6.779731512E-1,1.673927784E0,1.034107581E-1
6.348556880E-1,-4.926366210E-1,1.576224327E0,5.537929535E-1
6.568525630E-1,-6.341304779E-1,1.125126481E0,6.825284362E-1
6.788572500E-1,-8.375136852E-1,1.179196835E0,4.407130778E-1
7.008525630E-1,-7.643145919E-1,1.801249623E0,1.178969890E-1
7.228510000E-1,-6.686356068E-1,1.886404157E0,-2.240130156E-1
7.428510000E-1,-6.088581085E-1,1.551946759E0,-3.194999695E-1
7.628525630E-1,-4.525464177E-1,1.044876218E0,-2.422516979E-2
7.848525630E-1,-2.227563709E-1,8.274431229E-1,3.721565604E-1
8.048525630E-1,-1.022239327E-1,8.727693558E-1,5.220279694E-1
8.268510000E-1,-1.815840602E-1,1.671449423E0,8.654040694E-1
8.468510000E-1,-4.124911129E-1,1.932201624E0,1.095857382E0
8.668510000E-1,-5.249950290E-1,1.894572377E0,9.094212651E-1
8.868510000E-1,-3.116285503E-1,2.709309578E0,6.306049228E-1
