"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-8.056038857E0,-3.811779737E0,5.671892643E0
2.000156300E-2,-9.168614388E0,-3.135848761E0,6.666673660E0
4.000156300E-2,-1.176196575E1,-2.270277739E0,5.997561455E0
6.000156300E-2,-1.410896397E1,-3.354468048E-1,8.405793190E0
8.000156300E-2,-1.615272141E1,6.502201557E0,7.532215595E0
1.000015630E-1,-1.306582928E1,5.766176224E0,8.960787773E0
1.220015630E-1,-7.651878357E0,2.720770836E-1,1.090272522E1
1.420015630E-1,-5.648458004E0,4.971224666E-1,1.114226055E1
1.620015630E-1,-7.486812592E0,8.281735182E-1,9.881397247E0
1.820015630E-1,-7.187087059E0,-1.522999555E-1,9.621980667E0
2.020015630E-1,-9.891164780E0,1.916127503E-1,8.323356628E0
2.220015630E-1,-1.163103199E1,-2.206371784E0,4.121991634E0
2.420015630E-1,-1.363516998E1,-5.550410748E0,2.134392500E0
2.620015630E-1,-1.089895248E1,-2.354103565E0,2.576936722E0
2.820015630E-1,-8.405257225E0,-4.179739952E0,3.247207999E-1
3.040015630E-1,-9.102486610E0,-2.324769735E0,5.712948442E-1
3.240062500E-1,-9.345382690E0,2.995500803E0,4.080974579E0
3.460015630E-1,-9.473329544E0,-1.444057941E0,6.104438305E0
3.680000000E-1,-8.602529526E0,-2.744406223E0,4.207474232E0
3.880000000E-1,-8.409049034E0,-3.647422493E-1,1.870513201E0
4.080000000E-1,-8.213682175E0,2.080273867E0,1.229001164E0
4.280000000E-1,-6.116505146E0,4.193386555E0,4.419600487E0
4.480015630E-1,-5.638354301E0,1.182927191E-1,5.771864891E0
4.680015630E-1,-7.567487240E0,-2.277556211E-1,4.209437370E0
4.880015630E-1,-8.941950798E0,2.924000263E0,3.246738434E0
5.100000000E-1,-6.895933151E0,1.482595086E0,3.768789530E0
5.300015630E-1,-6.283553600E0,-3.422080278E-1,2.375660896E0
5.520015630E-1,-7.589341640E0,-8.961209655E-1,4.620464325E0
5.740093750E-1,-6.359689236E0,1.289133906E0,4.294843674E0
5.960078130E-1,-6.088464260E0,1.016166210E0,3.825254440E0
6.180000000E-1,-7.242259026E0,2.614468336E-3,5.285094738E0
6.380015630E-1,-1.118326855E1,3.151391745E0,5.409564495E0
6.580203130E-1,-9.330433846E0,1.075159431E0,8.044000626E0
6.800000000E-1,-1.045379257E1,-9.274083972E-1,6.194824696E0
7.000062500E-1,-1.139348793E1,-5.367799997E-1,5.548255920E0
7.220000000E-1,-1.439398861E1,1.214932919E0,4.498647690E0
7.420046880E-1,-1.595042133E1,2.026126623E0,5.880187988E0
7.640015630E-1,-1.772004318E1,8.991568089E-1,5.538496971E0
7.840093750E-1,-1.907513046E1,4.068514705E-1,6.428766727E0
8.060000000E-1,-1.493739510E1,-5.561280251E0,6.248732567E0
8.260015630E-1,-1.041336918E1,-7.045733452E0,6.194038868E0
8.480015630E-1,-6.931539536E0,-5.324005604E0,7.933866978E0
8.700015630E-1,-8.567947388E0,-1.439470649E0,6.715362072E0
8.920046880E-1,-9.423548698E0,-1.783574939E0,4.393560886E0
9.140000000E-1,-8.363147736E0,-3.000902176E0,2.164751053E0
9.340015630E-1,-9.001987457E0,-4.122815281E-2,7.193713784E-1
9.560015630E-1,-3.310663700E0,-3.054034233E0,4.141863823E0
