"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
6.000000000E-3,-2.025000006E-1,-7.599999662E-3,-2.018999904E-1
2.600000000E-2,3.788999915E-1,-1.132900000E0,1.239300013E0
4.600000000E-2,2.085299969E0,-2.425999880E0,1.291199923E0
6.600000000E-2,3.077899933E0,-1.962099910E0,1.386199951E0
8.600000000E-2,1.234399915E0,-1.288299918E0,3.420899868E0
1.060000000E-1,4.195999801E-1,-1.726499915E0,3.294799805E0
1.260062500E-1,1.466899991E0,-1.549699903E0,8.425999880E-1
1.560000000E-1,1.532499909E0,-1.189700007E0,-1.024500012E0
1.760093750E-1,-2.425999939E-1,3.429999948E-2,-1.137799978E0
2.060000000E-1,-7.110999823E-1,7.559999824E-2,-2.448999882E0
2.260062500E-1,-2.171999931E0,-6.244999766E-1,-8.165000081E-1
2.560000000E-1,-8.748999834E-1,-4.089999944E-2,4.638299942E0
2.859984380E-1,1.499400020E0,-6.955999732E-1,-3.473999798E-1
3.060000000E-1,7.547999620E-1,2.404999882E-1,2.345599890E0
3.260031250E-1,-7.799999714E-1,5.940999985E-1,1.994099975E0
3.560000000E-1,2.429999970E-2,-1.212999940E0,2.951299906E0
3.760015630E-1,-2.016000003E-1,-1.254199982E0,5.855700016E0
4.059984380E-1,2.049999952E0,-7.626000047E-1,1.129999943E-2
4.260000000E-1,2.088500023E0,5.242999792E-1,-2.043499947E0
4.560046880E-1,1.042400002E0,-6.394999623E-1,2.705000043E-1
4.859984380E-1,2.136999846E0,-3.589699984E0,-2.111999989E-1
5.059984380E-1,-1.277999997E0,-2.108999968E0,-7.550999522E-1
5.259984380E-1,-9.285999537E-1,-2.031899929E0,-1.572099924E0
5.459984380E-1,9.472999573E-1,-1.353299975E0,-1.126500010E0
5.659984380E-1,1.287999898E-1,-1.345999986E-1,-9.294999838E-1
5.859984380E-1,-7.337999940E-1,-3.752999902E-1,-2.041899920E0
6.059984380E-1,1.184800029E0,-1.315699935E0,-1.211300015E0
6.259984380E-1,1.790099978E0,2.089999989E-2,-3.075399876E0
6.459984380E-1,2.105200052E0,-9.805999994E-1,-1.154600024E0
6.659984380E-1,2.933799982E0,-2.027999878E0,-5.080000162E-1
6.860000000E-1,2.530599833E0,7.620000094E-2,-9.111399651E0
7.159984380E-1,1.267099977E0,-4.593999982E-1,-1.042500019E0
7.359984380E-1,-2.116999924E-1,-5.066999793E-1,3.499999875E-3
7.559984380E-1,-8.119999617E-2,-2.022999972E-1,1.859200001E0
7.759984380E-1,8.240000010E-1,-5.080000162E-1,3.673000038E-1
7.959984380E-1,3.612999916E-1,-1.504599929E0,5.240000039E-2
8.160000000E-1,-2.904999852E-1,-2.071899891E0,4.722999930E-1
8.360000000E-1,5.460000038E-1,-2.573499918E0,1.041999981E-1
8.560000000E-1,7.633999586E-1,-3.703999817E-1,7.881000042E-1
8.760000000E-1,-2.333000004E-1,-1.228699923E0,9.850999713E-1
8.960000000E-1,5.823999643E-1,-3.898099899E0,-4.623000026E-1
9.160000000E-1,1.526799917E0,-3.695299864E0,4.690999985E-1
9.360000000E-1,-1.752499938E0,5.179999769E-2,1.214299917E0
9.560000000E-1,-3.152199984E0,-5.659999847E-1,1.182299972E0
9.860000000E-1,1.714899898E0,-1.833499908E0,2.511000037E-1
1.006000000E0,-2.160099983E0,-1.903999895E-1,7.152999640E-1
1.026000000E0,-2.070299864E0,-1.712499976E0,-4.144999981E-1
1.046000000E0,-3.013799906E0,1.745399952E0,1.747599959E0
1.066000000E0,-1.104499936E0,1.596799970E0,1.336799979E0
1.086000000E0,-6.407999992E-1,1.638199925E0,1.122699976E0
1.106000000E0,-1.747599959E0,1.980199933E0,-4.138000011E-1
1.126000000E0,-2.906000018E-1,6.941999793E-1,-1.706099987E0
1.156000000E0,2.528800011E0,4.895999730E-1,-1.422199965E0
1.176000000E0,1.135800004E0,1.965999901E-1,-1.837899923E0
1.196000000E0,9.002999663E-1,-7.317999601E-1,-1.766699910E0
1.216000000E0,-1.074999928E0,-6.146999598E-1,-1.935599923E0
1.236000000E0,-9.236999750E-1,-2.434099913E0,-9.958999753E-1
1.266000000E0,-6.097099781E0,1.691799998E0,2.379799843E0
1.295998438E0,-2.555699825E0,3.784699917E0,4.007199764E0
1.316000000E0,-3.492100000E0,3.162999868E0,4.542699814E0
1.345998438E0,-3.884999990E0,-8.157999516E-1,3.059299946E0
1.366000000E0,-1.544999957E0,3.316999972E-1,4.756199837E0
1.395998438E0,-6.726899624E0,-7.325999737E-1,1.129899979E0
1.415998438E0,-9.572099686E0,-2.777599812E0,-1.926399946E0
1.436000000E0,-7.555500031E0,-3.389599800E0,-3.258999825E0
1.456000000E0,-6.915599823E0,-3.394599915E0,-2.526299953E0
1.485998438E0,3.762399912E0,1.964499950E0,1.084289932E1
1.505998438E0,7.063099861E0,1.725199938E0,8.664099693E0
1.525998438E0,1.032590008E1,-5.226999760E0,4.205800056E0
1.545998438E0,-3.691399813E0,-1.525299907E0,-2.799099922E0
1.566000000E0,-1.029229927E1,-2.384999990E-1,-9.237400055E0
1.596000000E0,-5.122200012E0,-5.929999799E-2,-5.397399902E0
1.616000000E0,2.433899879E0,-2.510399818E0,-1.824099898E0
1.636000000E0,3.040999889E0,-1.407999992E-1,1.645699978E0
1.665998438E0,4.479300022E0,4.967999756E-1,3.475899935E0
1.686000000E0,2.267299891E0,5.372999907E-1,7.038999796E-1
1.706000000E0,-1.252499938E0,1.615599990E0,1.191799998E0
1.726000000E0,-1.203870010E1,7.766799927E0,-1.436999917E0
1.746000000E0,8.736199379E0,-4.165499687E0,-1.986499906E0
1.766000000E0,-1.097719955E1,6.846099854E0,-3.486199856E0
1.786000000E0,1.537239933E1,-2.312599897E0,3.783099890E0
1.806001563E0,1.130970001E1,-7.692999840E-1,3.557499886E0
1.836000000E0,1.413959980E1,-4.602699757E0,9.180999994E-1
1.856000000E0,1.069279957E1,-1.895599961E0,9.408999681E-1
1.876000000E0,1.089979935E1,4.695999920E-1,1.370399952E0
1.896000000E0,8.269399643E0,1.756799936E0,1.348500013E0
1.916000000E0,2.802000046E0,-8.316999674E-1,5.073999763E-1
1.936000000E0,9.049999714E-2,-2.257999897E0,-2.597399950E0
1.956000000E0,5.482999682E-1,3.242999911E-1,-1.696999907E0
1.986000000E0,-1.505699992E0,4.481000006E-1,-8.249999881E-1
2.006000000E0,-5.202300072E0,-4.250099659E0,-3.903299809E0
2.026000000E0,-6.102799892E0,-3.857499838E0,-3.830199957E0
