"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.046000000E-2,-8.437500000E0,1.093750000E1,-4.625000000E1
4.046312500E-2,-8.687500000E0,1.162500000E1,-4.700000000E1
7.046000000E-2,-9.062500000E0,1.231250000E1,-4.718750000E1
9.046000000E-2,-9.625000000E0,1.343750000E1,-4.718750000E1
1.104600000E-1,-1.093750000E1,1.450000000E1,-4.718750000E1
1.304662500E-1,-1.237500000E1,1.518750000E1,-4.675000000E1
1.604600000E-1,-1.593750000E1,1.493750000E1,-4.625000000E1
1.804693750E-1,-1.768750000E1,1.481250000E1,-4.631250000E1
2.104600000E-1,-1.856250000E1,1.450000000E1,-4.581250000E1
2.304662500E-1,-1.718750000E1,1.481250000E1,-4.593750000E1
2.604600000E-1,-1.631250000E1,1.418750000E1,-4.612500000E1
2.904584380E-1,-1.706250000E1,1.337500000E1,-4.562500000E1
3.104600000E-1,-1.687500000E1,1.218750000E1,-4.600000000E1
3.304631250E-1,-1.712500000E1,1.112500000E1,-4.625000000E1
3.604600000E-1,-1.650000000E1,1.000000000E1,-4.706250000E1
3.804615630E-1,-1.543750000E1,9.062500000E0,-4.750000000E1
4.104584380E-1,-1.525000000E1,7.812500000E0,-4.793750000E1
4.304600000E-1,-1.462500000E1,7.500000000E0,-4.818750000E1
4.604646880E-1,-1.437500000E1,7.625000000E0,-4.787500000E1
4.904584380E-1,-1.537500000E1,7.750000000E0,-4.693750000E1
5.104584380E-1,-1.418750000E1,7.812500000E0,-4.700000000E1
5.304584380E-1,-1.187500000E1,7.625000000E0,-4.731250000E1
5.504584380E-1,-9.437500000E0,7.937500000E0,-4.800000000E1
5.704584380E-1,-7.125000000E0,8.500000000E0,-4.856250000E1
5.904584380E-1,-5.187500000E0,8.875000000E0,-4.850000000E1
6.104584380E-1,-3.625000000E0,8.687500000E0,-4.843750000E1
6.304584380E-1,-1.875000000E0,8.687500000E0,-4.843750000E1
6.504584380E-1,6.250000000E-2,8.687500000E0,-4.793750000E1
6.704584380E-1,1.687500000E0,8.687500000E0,-4.793750000E1
6.904600000E-1,1.312500000E0,9.062500000E0,-4.781250000E1
7.204584380E-1,5.625000000E-1,1.100000000E1,-4.750000000E1
7.404584380E-1,3.125000000E-1,1.231250000E1,-4.725000000E1
7.604584380E-1,5.000000000E-1,1.318750000E1,-4.693750000E1
7.804584380E-1,1.250000000E-1,1.406250000E1,-4.650000000E1
8.004584380E-1,-5.625000000E-1,1.456250000E1,-4.625000000E1
8.204600000E-1,-6.250000000E-1,1.487500000E1,-4.612500000E1
8.404600000E-1,-5.625000000E-1,1.562500000E1,-4.612500000E1
8.604600000E-1,-1.062500000E0,1.625000000E1,-4.593750000E1
8.804600000E-1,-1.062500000E0,1.668750000E1,-4.587500000E1
9.004600000E-1,-1.687500000E0,1.737500000E1,-4.587500000E1
